Código,Nombre,Stock
FURN_6666,Acoustic Bloc Screens,16.0
E-COM11,Cabinet with Doors,33.0
FURN_5555,Cable Management Box,90.0
N/A,Conference Chair,56.0
FURN_1118,Corner Desk Left Sit,2.0
E-COM06,Corner Desk Right Sit,0.0
N/A,Customizable Desk,150.0
FURN_7800,Desk Combination,60.0
FURN_7888,Desk Stand with Screen,0.0
FURN_8855,Drawer,80.0
FURN_8900,Drawer Black,0.0
FURN_9001,Flipover,0.0
FURN_8220,Four Person Desk,0.0
N/A,Hotel Accommodation,0.0
FURN_0789,Individual Workplace,16.0
E-COM07,Large Cabinet,700.0
E-COM09,Large Desk,0.0
FURN_6741,Large Meeting Table,0.0
FURN_7777,Office Chair,0.0
FURN_0269,Office Chair Black,10.0
FURN_9999,Office Design Software,0.0
FURN_8888,Office Lamp,0.0
E-COM10,Pedal Bin,22.0
N/A,Restaurant Expenses,0.0
E-COM08,Storage Box,18.0
FURN_8999,Three-Seat Sofa,0.0
N/A,Virtual Home Staging,0.0
N/A,Virtual Interior Design,0.0
